id_customer,newsletter_optin,country,order_autonomy,number_order,number_ref_ordered,quantity_product_ordered
2210,0,France,1,4,4,28
2212,0,France,0,2,3,18
2213,1,France,1,1,3,45
2218,0,Chine,1,1,1,1
2223,1,France,0,1,1,4
2227,0,Croatie,1,1,3,15
2232,0,France,1,1,6,60
2233,0,France,1,2,2,4
2237,0,France,1,2,8,16
2241,0,France,1,3,10,37
2244,0,Chypre,1,1,3,15
2244,0,France,1,1,3,15
2247,1,Autriche,1,1,1,3
2251,1,France,0,1,3,6
2254,0,Allemagne,0,2,1,12
2257,1,Belgique,1,1,33,396
2261,0,France,1,3,2,15
2266,0,Espagne,1,2,3,26
2272,1,France,0,2,2,6
2277,1,France,0,1,1,2
2279,0,Singapour,1,2,10,29
2283,0,France,0,1,8,16
2285,0,France,1,1,1,6
2286,0,Pays-bas,0,1,9,18
2287,0,Danemark,1,1,6,30
2288,0,Allemagne,1,1,2,10
2293,1,Belgique,0,1,3,6
2299,1,France,1,3,9,46
2302,0,France,0,1,3,9
2307,0,Espagne,0,1,1,2
2310,1,Croatie,1,1,9,9
2312,0,France,1,1,2,12
2316,0,France,1,1,2,12
2317,0,Hongrie,0,1,4,8
